Type	UniqueName	ServerName	ParentName	PointName	PointValue	X	Y	Width	Height	Angle	AngleOriginX	AngleOriginY	Text	FontSize	BackColor	TextColor	ClickEventName	ImagePattern	ImageIndex	BaseImagePath	ImagePath	Remark								
BackImage	連動盤					0	0														Image/BackImage/TH65_Daidoji.png									
Image	Clock_Base					1400	78	79	110												Image/Clock/Clock_Border.png									
ClockImage	Clock_Meter		Clock_Base			6	37	63	63											Image/Clock/Clock_Base.png	"Image/Clock/Clock_HourHand.png,Image/Clock/Clock_MinuteHand.png,Image/Clock/Clock_SecondHand.png,Image/Clock/Clock_Cover.png"									
Image	Hook					1411	10														Image/Hook/Hook_Base.png									
LeverImage	1R					303	388										1R	"0,1"	0	Image/Lever/LeverBase_NR.png	"Image/Lever/Lever_Red_N.png,Image/Lever/Lever_Red_R.png"	0代X=てこ赤(X)N(X)　例：1R=てこ赤NR								
Image	1R_G					369	386											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"	"G,Y,R,PG,PYは灯色"								
TextBlock	1R_Label		1R			14	20	11	11				1	10	Transparent	#FFBCBCBC	1R													
LeverImage	2R					652	388										2R	"0,1"	0	Image/Lever/LeverBase_NR.png	"Image/Lever/Lever_Red_N.png,Image/Lever/Lever_Red_R.png"									
Image	2R_G					718	387											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"									
TextBlock	2R_Label		2R			14	20	11	11				2	10	Transparent	#FFBCBCBC	2R													
LeverImage	2RZ					604	388										2RZ	"0,1"	0	Image/Lever/LeverBase_NR.png	"Image/Lever/Lever_Pink_N.png,Image/Lever/Lever_Pink_R.png"	0代XZ=てこ桃(X)N(X)Z　例：2RZ=てこ桃NR								
Image	2RZ_Y					619	377											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"									
TextBlock	2RZ_Label		2RZ			14	20	11	11				2Z	10	Transparent	#FFBCBCBC	2RZ													
LeverImage	3R					652	448										3R	"0,1"	0	Image/Lever/LeverBase_NR.png	"Image/Lever/Lever_Red_N.png,Image/Lever/Lever_Red_R.png"									
