Type	UniqueName	ServerName	ParentName	PointName	PointValue	X	Y	Width	Height	Angle	AngleOriginX	AngleOriginY	Text	FontSize	BackColor	TextColor	ClickEventName	ImagePattern	ImageIndex	BaseImagePath	ImagePath	Remark								
BackImage	連動盤					0	0														Image/BackImage/TH58_Akayamacho.png									
Image	Clock_Base					1350	78	79	110												Image/Clock/Clock_Border.png									
ClockImage	Clock_Meter		Clock_Base			6	37	63	63											Image/Clock/Clock_Base.png	"Image/Clock/Clock_HourHand.png,Image/Clock/Clock_MinuteHand.png,Image/Clock/Clock_SecondHand.png,Image/Clock/Clock_Cover.png"									
Image	Hook					1361	10														Image/Hook/Hook_Base.png									
LeverImage	1L					322	323										1L	"-1,1"	-1	Image/Lever/LeverBase_LR.png	"Image/Lever/Lever_White_L.png,Image/Lever/Lever_White_R.png"	1Lは方向てこ　白LR								
TextBlock	1L_Label		1L			14	20	11	11				1	10	Transparent	#FFBCBCBC	1L													
LeverImage	2R					387	323										2R	"0,1"	0	Image/Lever/LeverBase_NR.png	"Image/Lever/Lever_Red_N.png,Image/Lever/Lever_Red_R.png"	0代X=てこ赤(X)N(X)　例：2R=てこ赤NR								
Image	2R_G					453	321											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"	"G,Y,R,PG,PYは灯色"								
TextBlock	2R_Label		2R			14	20	11	11				2	10	Transparent	#FFBCBCBC	2R													
LeverImage	3L					682	243										3L	"-1,0"	0	Image/Lever/LeverBase_LN.png	"Image/Lever/Lever_Red_L.png,Image/Lever/Lever_Red_N.png"									
Image	3L_G					646	249											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"									
TextBlock	3L_Label		3L			14	20	11	11				3	10	Transparent	#FFBCBCBC	3L													
LeverImage	4L					740	323										4L	"-1,0"	0	Image/Lever/LeverBase_LN.png	"Image/Lever/Lever_Red_L.png,Image/Lever/Lever_Red_N.png"									
Image	4L_G					704	359											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"									
TextBlock	4L_Label		4L			14	20	11	11				4	10	Transparent	#FFBCBCBC	4L													
LeverImage	5L					740	403										5L	"-1,0"	0	Image/Lever/LeverBase_LN.png	"Image/Lever/Lever_Red_L.png,Image/Lever/Lever_Red_N.png"									
Image	5L_G					704	439											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"									
TextBlock	5L_Label		5L			14	20	11	11				5	10	Transparent	#FFBCBCBC	5L													
LeverImage	6R					1036	243										6R	"0,1"	0	Image/Lever/LeverBase_NR.png	"Image/Lever/Lever_Red_N.png,Image/Lever/Lever_Red_R.png"									
Image	6R_G					1113	241											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"									
TextBlock	6R_Label		6R			14	20	11	11				6	10	Transparent	#FFBCBCBC	6R													
LeverImage	7R					1036	323										7R	"0,1"	0	Image/Lever/LeverBase_NR.png	"Image/Lever/Lever_Red_N.png,Image/Lever/Lever_Red_R.png"									
Image	7R_G					1131	321											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"									
TextBlock	7R_Label		7R			14	20	11	11				7	10	Transparent	#FFBCBCBC	7R													
LeverImage	8R					1094	403										8R	"0,1"	0	Image/Lever/LeverBase_NR.png	"Image/Lever/Lever_Red_N.png,Image/Lever/Lever_Red_R.png"									
Image	8R_G					1160	439											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"									
TextBlock	8R_Label		8R			14	20	11	11				8	10	Transparent	#FFBCBCBC	8R													
LeverImage	9L					1447	323										9L	"-1,0"	0	Image/Lever/LeverBase_LN.png	"Image/Lever/Lever_Red_L.png,Image/Lever/Lever_Red_N.png"									
Image	9L_G					1411	302											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"									
TextBlock	9L_Label		9L			14	20	11	11				9	10	Transparent	#FFBCBCBC	9L													
LeverImage	10L					1512	323										10L	"-1,1"	-1	Image/Lever/LeverBase_LR.png	"Image/Lever/Lever_White_L.png,Image/Lever/Lever_White_R.png"	10Lは方向てこ　白LR								
TextBlock	10L_Label		10L			14	20	11	11				10	10	Transparent	#FFBCBCBC	10L													
LeverImage	31R					978	243										31R	"0,1"	0	Image/Lever/LeverBase_NR.png	"Image/Lever/Lever_Green_N.png,Image/Lever/Lever_Green_R.png"	30代X=てこ緑(X)N(X)　例：31R=てこ緑NR								
Image	31R_Y					1095	240											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"									
TextBlock	31R_Label		31R			14	20	11	11				31	10	Transparent	#FFBCBCBC	31R													
LeverImage	32L					1289	183										32L	"-1,0"	0	Image/Lever/LeverBase_LN.png	"Image/Lever/Lever_Green_L.png,Image/Lever/Lever_Green_N.png"									
Image	32L_Y					1260	223											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"									
TextBlock	32L_Label		32L			14	20	11	11				32	10	Transparent	#FFBCBCBC	32L													
LeverImage	33L					1289	243										33L	"-1,0"	0	Image/Lever/LeverBase_LN.png	"Image/Lever/Lever_Green_L.png,Image/Lever/Lever_Green_N.png"									
Image	33L_Y					1260	280											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"									
TextBlock	33L_Label		33L			14	20	11	11				33	10	Transparent	#FFBCBCBC	33L													
ButtonImage	T					463	336										T	"0,1"	0	Image/Button/ArrivalButton_Base.png	"Image/Button/ArrivalButton_White_OFF.png,Image/Button/ArrivalButton_White_ON.png"									
TextBlock	T_Label		T			5	23	15	12				T	10	Transparent	#FFBCBCBC	T													
ButtonImage	A					934	256										A	"0,1"	0	Image/Button/ArrivalButton_Base.png	"Image/Button/ArrivalButton_White_OFF.png,Image/Button/ArrivalButton_White_ON.png"									
TextBlock	A_Label		A			5	23	15	12				A	10	Transparent	#FFBCBCBC	A													
ButtonImage	B					992	336										B	"0,1"	0	Image/Button/ArrivalButton_Base.png	"Image/Button/ArrivalButton_White_OFF.png,Image/Button/ArrivalButton_White_ON.png"									
TextBlock	B_Label		B			5	23	15	12				B	10	Transparent	#FFBCBCBC	B													
ButtonImage	C					1050	416										C	"0,1"	0	Image/Button/ArrivalButton_Base.png	"Image/Button/ArrivalButton_White_OFF.png,Image/Button/ArrivalButton_White_ON.png"									
TextBlock	C_Label		C			5	23	15	12				C	10	Transparent	#FFBCBCBC	C													
ButtonImage	D					1541	196										D	"0,1"	0	Image/Button/ArrivalButton_Base.png	"Image/Button/ArrivalButton_White_OFF.png,Image/Button/ArrivalButton_White_ON.png"									
TextBlock	D_Label		D			5	23	15	12				D	10	Transparent	#FFBCBCBC	D													
ButtonImage	E					1541	256										E	"0,1"	0	Image/Button/ArrivalButton_Base.png	"Image/Button/ArrivalButton_White_OFF.png,Image/Button/ArrivalButton_White_ON.png"									
TextBlock	E_Label		E			5	23	15	12				E	10	Transparent	#FFBCBCBC	E													
ButtonImage	S					1356	336										S	"0,1"	0	Image/Button/ArrivalButton_Base.png	"Image/Button/ArrivalButton_White_OFF.png,Image/Button/ArrivalButton_White_ON.png"									
TextBlock	S_Label		S			5	23	15	12				S	10	Transparent	#FFBCBCBC	S													
ButtonImage	警報上り接近					304	551										警報上り接近	"0,1"	0	Image/Button/ApproachingButton_Base.png	"Image/Button/ApproachingButton_Green_OFF.png,Image/Button/ApproachingButton_Green_ON.png"									
ButtonImage	警報下り接近					1591	551										警報下り接近	"0,1"	0	Image/Button/ApproachingButton_Base.png	"Image/Button/ApproachingButton_Green_OFF.png,Image/Button/ApproachingButton_Green_ON.png"									
LeverImage	P21					557	64										P21	"-1,0,1"	0	Image/Lever/LeverBase_NCR.png	"Image/Lever/Lever_Black_L.png,Image/Lever/Lever_Black_N.png,Image/Lever/Lever_Black_R.png"	転てつ器単独てこはNCR								
Image	P21_PG					555	45											"0,1"	0		"Image/Light/N.png,Image/Light/PG.png"									
Image	P21_PY					589	45											"0,1"	0		"Image/Light/N.png,Image/Light/PY.png"									
TextBlock	P21_Label		P21			14	20	11	11				21	10	Transparent	#FFBCBCBC	P21													
LeverImage	P22					625	64										P22	"-1,0,1"	0	Image/Lever/LeverBase_NCR.png	"Image/Lever/Lever_Black_L.png,Image/Lever/Lever_Black_N.png,Image/Lever/Lever_Black_R.png"									
Image	P22_PG					623	45											"0,1"	0		"Image/Light/N.png,Image/Light/PG.png"									
Image	P22_PY					657	45											"0,1"	0		"Image/Light/N.png,Image/Light/PY.png"									
TextBlock	P22_Label		P22			14	20	11	11				22	10	Transparent	#FFBCBCBC	P22													
LeverImage	P23					1117	64										P23	"-1,0,1"	0	Image/Lever/LeverBase_NCR.png	"Image/Lever/Lever_Black_L.png,Image/Lever/Lever_Black_N.png,Image/Lever/Lever_Black_R.png"									
Image	P23_PG					1115	45											"0,1"	0		"Image/Light/N.png,Image/Light/PG.png"									
Image	P23_PY					1149	45											"0,1"	0		"Image/Light/N.png,Image/Light/PY.png"									
TextBlock	P23_Label		P23			14	20	11	11				23	10	Transparent	#FFBCBCBC	P23													
LeverImage	P24					1185	64										P24	"-1,0,1"	0	Image/Lever/LeverBase_NCR.png	"Image/Lever/Lever_Black_L.png,Image/Lever/Lever_Black_N.png,Image/Lever/Lever_Black_R.png"									
Image	P24_PG					1183	45											"0,1"	0		"Image/Light/N.png,Image/Light/PG.png"									
Image	P24_PY					1217	45											"0,1"	0		"Image/Light/N.png,Image/Light/PY.png"									
TextBlock	P24_Label		P24			14	20	11	11				24	10	Transparent	#FFBCBCBC	P24													
LeverImage	P25					1253	64										P25	"-1,0,1"	0	Image/Lever/LeverBase_NCR.png	"Image/Lever/Lever_Black_L.png,Image/Lever/Lever_Black_N.png,Image/Lever/Lever_Black_R.png"									
Image	P25_PG					1251	45											"0,1"	0		"Image/Light/N.png,Image/Light/PG.png"									
Image	P25_PY					1285	45											"0,1"	0		"Image/Light/N.png,Image/Light/PY.png"									
TextBlock	P25_Label		P25			14	20	11	11				25	10	Transparent	#FFBCBCBC	P25													
KeyImage	解放98					54	64										解放98	"0,1,10,11"	0	Image/Lever/LeverBase_NR.png	"Image/Lever/KeyLever_KeyOFF_N.png,Image/Lever/KeyLever_KeyOFF_R.png,Image/Lever/KeyLever_KeyON_N.png,Image/Lever/KeyLever_KeyON_R.png"	方向てこ解放はNR								
Image	解放98_PY					69	31											"0,1"	0		"Image/Light/N.png,Image/Light/PY.png"									
