Type	UniqueName	ServerName	ParentName	PointName	PointValue	X	Y	Width	Height	Angle	AngleOriginX	AngleOriginY	Text	FontSize	BackColor	TextColor	ClickEventName	ImagePattern	ImageIndex	BaseImagePath	ImagePath	Remark							
BackImage	連動盤					0	0														Image/BackImage/TH75_Komano.png								
Image	Clock_Base					1400	78	79	110												Image/Clock/Clock_Border.png								
ClockImage	Clock_Meter		Clock_Base			6	37	63	63											Image/Clock/Clock_Base.png	"Image/Clock/Clock_HourHand.png,Image/Clock/Clock_MinuteHand.png,Image/Clock/Clock_SecondHand.png,Image/Clock/Clock_Cover.png"								
Image	Hook					1411	10														Image/Hook/Hook_Base.png								
LeverImage	1R					579	525										1R	"0,1"	0	Image/Lever/LeverBase_NR.png	"Image/Lever/Lever_Red_N.png,Image/Lever/Lever_Red_R.png"	0代X=てこ赤(X)N(X)　例：1R=てこ赤NR							
Image	1RD_G					643	513											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"	"G,Y,R,PG,PYは灯色"							
Image	1RE_G					651	531											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"								
TextBlock	1R_Label		1R			14	20	11	11				1	10	Transparent	#FFBCBCBC	1R												
LeverImage	2L					865	585										2L	"-1,0"	0	Image/Lever/LeverBase_LN.png	"Image/Lever/Lever_Red_L.png,Image/Lever/Lever_Red_N.png"								
Image	2L_G					818	621											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"								
TextBlock	2L_Label		2L			14	20	11	11				2	10	Transparent	#FFBCBCBC	2L												
LeverImage	3L					1092	405										3L	"-1,0"	0	Image/Lever/LeverBase_LN.png	"Image/Lever/Lever_Red_L.png,Image/Lever/Lever_Red_N.png"								
Image	3L_G					1048	459											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"								
TextBlock	3L_Label		3L			14	20	11	11				3	10	Transparent	#FFBCBCBC	3L												
LeverImage	4L					1092	465										4L	"-1,0"	0	Image/Lever/LeverBase_LN.png	"Image/Lever/Lever_Red_L.png,Image/Lever/Lever_Red_N.png"								
Image	4L_G					1048	519											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"								
TextBlock	4L_Label		4L			14	20	11	11				4	10	Transparent	#FFBCBCBC	4L												
LeverImage	5R					1290	525										5R	"0,1"	0	Image/Lever/LeverBase_NR.png	"Image/Lever/Lever_Red_N.png,Image/Lever/Lever_Red_R.png"								
Image	5RA_G					1367	513											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"								
Image	5RB_G					1375	531											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"								
TextBlock	5R_Label		5R			14	20	11	11				5	10	Transparent	#FFBCBCBC	5R												
LeverImage	6L					1611	585										6L	"-1,0"	0	Image/Lever/LeverBase_LN.png	"Image/Lever/Lever_Red_L.png,Image/Lever/Lever_Red_N.png"								
Image	6L_G					1564	621											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"								
TextBlock	6L_Label		6L			14	20	11	11				6	10	Transparent	#FFBCBCBC	6L												
LeverImage	7R					1965	345										7R	"0,1"	0	Image/Lever/LeverBase_NR.png	"Image/Lever/Lever_Red_N.png,Image/Lever/Lever_Red_R.png"								
Image	7R_G					2031	388											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"								
TextBlock	7R_Label		7R			14	20	11	11				7	10	Transparent	#FFBCBCBC	7R												
LeverImage	8R					1965	525										8R	"0,1"	0	Image/Lever/LeverBase_NR.png	"Image/Lever/Lever_Red_N.png,Image/Lever/Lever_Red_R.png"								
Image	8R_G					2031	524											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"								
TextBlock	8R_Label		8R			14	20	11	11				8	10	Transparent	#FFBCBCBC	8R												
LeverImage	9L					2348	585										9L	"-1,0"	0	Image/Lever/LeverBase_LN.png	"Image/Lever/Lever_Red_L.png,Image/Lever/Lever_Red_N.png"								
Image	9LB_G					2314	621											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"								
Image	9LC_G					2306	639											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"								
TextBlock	9L_Label		9L			14	20	11	11				9	10	Transparent	#FFBCBCBC	9L												
LeverImage	11R					713	585										11R	"0,1"	0	Image/Lever/LeverBase_NR.png	"Image/Lever/Lever_Green_N.png,Image/Lever/Lever_Green_R.png"	10代X=てこ緑(X)N(X)　例：11R=てこ緑NR							
Image	11R_Y					772	620											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"								
TextBlock	11R_Label		11R			14	20	11	11				11	10	Transparent	#FFBCBCBC	11R												
LeverImage	12L					923	585										12L	"-1,0"	0	Image/Lever/LeverBase_LN.png	"Image/Lever/Lever_Green_L.png,Image/Lever/Lever_Green_N.png"								
Image	12L_Y					836	622											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"								
TextBlock	12L_Label		12L			14	20	11	11				12	10	Transparent	#FFBCBCBC	12L												
LeverImage	13R					1232	525										13R	"0,1"	0	Image/Lever/LeverBase_NR.png	"Image/Lever/Lever_Green_N.png,Image/Lever/Lever_Green_R.png"								
Image	13R_Y					1357	530											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"								
TextBlock	13R_Label		13R			14	20	11	11				13	10	Transparent	#FFBCBCBC	13R												
LeverImage	14L					1669	585										14L	"-1,0"	0	Image/Lever/LeverBase_LN.png	"Image/Lever/Lever_Green_L.png,Image/Lever/Lever_Green_N.png"								
Image	14L_Y					1582	622											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"								
TextBlock	14L_Label		14L			14	20	11	11				14	10	Transparent	#FFBCBCBC	14L												
LeverImage	15L					1669	345										15L	"-1,0"	0	Image/Lever/LeverBase_LN.png	"Image/Lever/Lever_Green_L.png,Image/Lever/Lever_Green_N.png"								
Image	15L_Y					1640	344											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"								
TextBlock	15L_Label		15L			14	20	11	11				15	10	Transparent	#FFBCBCBC	15L												
LeverImage	24R					1446	345										24R	"0,1"	0	Image/Lever/LeverBase_NR.png	"Image/Lever/Lever_Green_N.png,Image/Lever/Lever_Green_R.png"								
Image	24R_Y					1505	350											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"								
TextBlock	24R_Label		24R			14	20	11	11				24	10	Transparent	#FFBCBCBC	24R												
LeverImage	25R					1446	405										25R	"0,1"	0	Image/Lever/LeverBase_NR.png	"Image/Lever/Lever_Green_N.png,Image/Lever/Lever_Green_R.png"								
Image	25R_Y					1505	403											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"								
TextBlock	25R_Label		25R			14	20	11	11				25	10	Transparent	#FFBCBCBC	25R												
LeverImage	26R					1446	465										26R	"0,1"	0	Image/Lever/LeverBase_NR.png	"Image/Lever/Lever_Green_N.png,Image/Lever/Lever_Green_R.png"								
Image	26R_Y					1505	463											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"								
TextBlock	26R_Label		26R			14	20	11	11				26	10	Transparent	#FFBCBCBC	26R												
LeverImage	27R					807	345										27R	"0,1"	0	Image/Lever/LeverBase_NR.png	"Image/Lever/Lever_Green_N.png,Image/Lever/Lever_Green_R.png"								
Image	27R_Y					866	350											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"								
TextBlock	27R_Label		27R			14	20	11	11				27	10	Transparent	#FFBCBCBC	27R												
LeverImage	28R					807	405										28R	"0,1"	0	Image/Lever/LeverBase_NR.png	"Image/Lever/Lever_Green_N.png,Image/Lever/Lever_Green_R.png"								
Image	28R_Y					866	410											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"								
TextBlock	28R_Label		28R			14	20	11	11				28	10	Transparent	#FFBCBCBC	28R												
LeverImage	29R					807	465										29R	"0,1"	0	Image/Lever/LeverBase_NR.png	"Image/Lever/Lever_Green_N.png,Image/Lever/Lever_Green_R.png"								
Image	29R_Y					866	470											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"								
TextBlock	29R_Label		29R			14	20	11	11				29	10	Transparent	#FFBCBCBC	29R												
LeverImage	34L					1150	345										34L	"-1,0"	0	Image/Lever/LeverBase_LN.png	"Image/Lever/Lever_Green_L.png,Image/Lever/Lever_Green_N.png"								
Image	34L_Y					1055	352											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"								
TextBlock	34L_Label		34L			14	20	11	11				34	10	Transparent	#FFBCBCBC	34L												
LeverImage	35L					1150	405										35L	"-1,0"	0	Image/Lever/LeverBase_LN.png	"Image/Lever/Lever_Green_L.png,Image/Lever/Lever_Green_N.png"								
Image	35L_Y					1055	442											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"								
TextBlock	35L_Label		35L			14	20	11	11				35	10	Transparent	#FFBCBCBC	35L												
LeverImage	36L					1150	465										36L	"-1,0"	0	Image/Lever/LeverBase_LN.png	"Image/Lever/Lever_Green_L.png,Image/Lever/Lever_Green_N.png"								
Image	36L_Y					1055	502											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"								
TextBlock	36L_Label		36L			14	20	11	11				36	10	Transparent	#FFBCBCBC	36L												
ButtonImage	T					510	598										T	"0,1"	0	Image/Button/ArrivalButton_Base.png	"Image/Button/ArrivalButton_White_OFF.png,Image/Button/ArrivalButton_White_ON.png"								
TextBlock	T_Label		T			5	23	15	12				T	10	Transparent	#FFBCBCBC	T												
ButtonImage	E					1135	538										E	"0,1"	0	Image/Button/ArrivalButton_Base.png	"Image/Button/ArrivalButton_White_OFF.png,Image/Button/ArrivalButton_White_ON.png"								
TextBlock	E_Label		E			5	23	15	12				E	10	Transparent	#FFBCBCBC	E												
ButtonImage	F					1216	598										F	"0,1"	0	Image/Button/ArrivalButton_Base.png	"Image/Button/ArrivalButton_White_OFF.png,Image/Button/ArrivalButton_White_ON.png"								
TextBlock	F_Label		F			5	23	15	12				F	10	Transparent	#FFBCBCBC	F												
