Type	UniqueName	ServerName	ParentName	PointName	PointValue	X	Y	Width	Height	Angle	AngleOriginX	AngleOriginY	Text	FontSize	BackColor	TextColor	ClickEventName	ImagePattern	ImageIndex	BaseImagePath	ImagePath	Remark							
BackImage	表示盤					0	0														Image/BackImage/W11_Enohara-Inspection-Indicater.png								
Image	1RA_G					520	693											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"	"Y,Gは灯色"							
Image	1RB_G					520	712											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"								
Image	1RC_G					528	730											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"								
Image	2R_G					1164	662											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"								
Image	3L_G					1273	602											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"								
Image	4L_G					1273	700											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"								
Image	5LD_G					1237	820											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"								
Image	5LE_G					1229	838											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"								
Image	11R_Y					816	669											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"								
Image	12L_Y					880	671											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"								
Image	13R_Y					1146	661											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"								
Image	14R_Y					1240	601											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"								
Image	15L_Y					1291	603											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"								
Image	15LZ_Y					1313	602											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"								
Image	16L_Y					1291	701											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"								
Image	16LZ_Y					1313	700											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"								
	21R_Y																												
	22R_Y																												
	23R_Y																												
	24R_Y																												
	25R_Y																												
	26R_Y																												
	27R_Y																												
	28R_Y																												
	29R_Y																												
	31R_Y																												
	32R_Y																												
	33R_Y																												
	34L_Y																												
	35L_Y																												
	36L_Y																												
	37L_Y																												
	38L_Y																												
	39L_Y																												
	40L_Y																												
	41L_Y																												
	41LZ_Y																												
	42L_Y																												
	42LZ_Y																												
	43R_Y																												
	43RZ_Y																												
Image	TH67_1RT_1					52	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"	0度(以下ラインライト特記なき限り0度)							
Image	TH67_4LT_1					131	807											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	TH67_4LT_2					213	807											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	TH67_5LT_1					131	867											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	TH67_5LT_2					213	867											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	TH67_32T_P32N_1					77	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	TH67_32T_P32N_2					107	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	TH67_32T_P32R_1					77	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	TH67_32T_P32R_2					99	702											"0,1,2"	0		"Image/Light/68N.png,Image/Light/68Y.png,Image/Light/68R.png"	68度							
Image	TH67_1RAT_1					131	687											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	TH67_1RAT_2					213	687											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	TH67_1RBT_1					131	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	TH67_1RBT_2					213	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	TH67_33イT_P33イN_1					237	687											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	TH67_33イT_P33イN_2					295	687											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	TH67_33イT_P33イR_1					237	687											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	TH67_33イT_P33イR_2					277	702											"0,1,2"	0		"Image/Light/112N.png,Image/Light/112Y.png,Image/Light/112R.png"	112度							
Image	TH67_33ロT_P33ロN_1					237	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	TH67_33ロT_P33ロN_2					295	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	TH67_33ロT_P33ロR_1					287	727											"0,1,2"	0		"Image/Light/112N.png,Image/Light/112Y.png,Image/Light/112R.png"	112度							
Image	TH67_33ロT_P33ロR_2					295	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	TH67_34T_P34N_1					237	807											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	TH67_34T_P34N_2					295	807											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	TH67_34T_P34R_1					237	867											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	TH67_34T_P34R_2					277	847											"0,1,2"	0		"Image/Light/68N.png,Image/Light/68Y.png,Image/Light/68R.png"	68度							
Image	TH67_34T_P34R_3					295	807											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	TH67_35イT_P35イN_1					315	807											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	TH67_35イT_P35イN_2					345	807											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	TH67_35イT_P35イR_1					315	807											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	TH67_35イT_P35イR_2					327	787											"0,1,2"	0		"Image/Light/68N.png,Image/Light/68Y.png,Image/Light/68R.png"	68度							
Image	TH67_35ロT_P35ロN_1					315	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	TH67_35ロT_P35ロN_2					345	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	TH67_35ロT_P35ロR_1					337	762											"0,1,2"	0		"Image/Light/68N.png,Image/Light/68Y.png,Image/Light/68R.png"	68度							
Image	TH67_35ロT_P35ロR_2					345	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	TH67_36イT_1					370	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	TH67_SST_1					400	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	136T_1					430	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	142T_1					460	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	146T_1					490	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	1RT_1					554	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	1RT_2					652	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
Image	1RT_3					751	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"								
